lat,lon,depth,cluster
35.15863565625,139.60457125,16.939411764705884,88
35.158638,139.60013,12.582,39
35.158638,139.60422,17.13,87
35.15864,139.60007,10.324,39
35.15864,139.60039,18.431,41
35.15864,139.60435,16.828,87
35.158646,139.60419,17.13,87
35.15865,139.60014,12.051,39
35.15865,139.6004,18.847,41
35.158653,139.60007,10.99,39
35.158653,139.60042,18.92,41
35.158653,139.60428,16.984,87
35.158657,139.60437,16.911,87
35.15866,139.60007,10.365,39
35.158665,139.60013,11.583,39
35.15867,139.60043,19.357,41
35.158672,139.60008,10.334,39
35.158676,139.6001,11.177,39
35.158676,139.60439,16.901,88
35.15868,139.60013,11.77,39
35.15868,139.60045,19.659,41
35.158684,139.60034,18.119,41
35.158684,139.60036,18.191,41
35.158684,139.60037,18.119,41
35.158684,139.60039,17.983,41
35.158688,139.6001,11.364,39
35.158688,139.6004,18.171,41
35.15869,139.60034,17.401,41
35.15869,139.60042,18.524,41
35.15869,139.60046,19.347,42
35.158695,139.60011,12.759,39
35.158695,139.60439,16.859,88
35.1587,139.60034,16.381,41
35.1587,139.60042,18.566,41
35.158703,139.60036,19.024,41
35.158703,139.60043,18.816,41
35.158703,139.60048,19.367,42
35.158707,139.6001,11.791,39
35.158707,139.60011,13.092,39
35.158707,139.60034,18.837,41
35.158707,139.60037,18.8105,41
35.158707,139.60043,18.795,41
35.158707,139.6044,16.963,88
35.158714,139.60037,18.712,41
35.158714,139.60045,19.128,41
35.15872,139.60011,13.373,39
35.15872,139.60036,18.67,41
35.15872,139.60046,19.003,42
35.15872,139.60048,19.576,42
35.158722,139.6001,12.457,39
35.158722,139.60034,18.629,41
35.158722,139.60442,16.922,88
35.158726,139.6001,13.196,39
35.158726,139.60048,19.451,42
35.158726,139.60434,17.213,87
35.15873,139.60011,11.895,39
35.15873,139.60033,17.723,41
35.158733,139.6001,12.873,39
35.158733,139.6005,19.461,42
35.158733,139.60435,17.109,87
35.158733,139.60443,16.984,88
35.158737,139.60027,16.412,41
35.158737,139.6003,16.839,41
35.158737,139.60031,17.286,41
35.158737,139.60033,17.192,41
35.158737,139.6005,19.909,42
35.15874,139.60008,12.811,39
35.15874,139.60011,11.625,39
35.15874,139.60051,19.607,42
35.158745,139.60025,15.215,39
35.158745,139.60052,19.753,42
35.158745,139.60445,17.005,88
35.15875,139.60013,12.103,39
35.15875,139.60052,19.888,42
35.158752,139.60023,15.101,39
35.158752,139.6005,20.138,42
35.158752,139.60056,20.283,42
35.158752,139.60445,16.828,88
35.158756,139.60007,12.821,39
35.158756,139.60056,20.346,42
35.15876,139.60013,14.726,39
35.15876,139.60057,20.325,42
35.15876,139.60059,20.543,42
35.15876,139.6006,20.564,42
35.15876,139.60446,16.911,88
35.158764,139.60062,20.585,42
35.158764,139.60063,20.481,42
35.158764,139.60065,20.398,42
35.158768,139.60007,12.988,39
35.158768,139.60013,14.934,39
35.15877,139.60019,17.369,39
35.15877,139.6005,20.221,42
35.15877,139.60448,17.067,88
35.158775,139.60005,13.269,38
35.158775,139.60019,16.282,39
35.158775,139.60449,17.036,88
35.15878,139.59988,19.159,38
35.15878,139.60017,14.455,39
35.15878,139.60019,14.976,39
35.15878,139.6002,14.996,39
35.15878,139.60085,20.648,51
35.158783,139.60004,13.446,38
35.158783,139.60011,15.798,39
35.158783,139.60013,14.9185,39
